ID_Comentario,Texto,Data,Classificacao
"1,""Atendimento muito bom, parabéns!"",2022-05-31,Positivo"
2,Excelente custo-benefício!,2022-05-17,Positivo
3,Muito satisfeito com a compra.,2022-08-13,Neutro
4,Muito satisfeito com a compra.,2023-12-04,Neutro
5,Não era o que eu esperava.,2022-10-06,Neutro
6,Não gostei do atendimento.,2023-01-19,Negativo
"7,""Péssima qualidade, não recomendo."",2023-02-23,Negativo"
8,Demorou muito para chegar.,2022-05-13,Negativo
9,Produto veio com defeito.,2023-09-21,Neutro
10,Ótimo produto!,2023-06-21,Negativo
11,Demorou muito para chegar.,2023-12-13,Negativo
"12,""Atendimento muito bom, parabéns!"",2023-07-09,Positivo"
"13,""Atendimento muito bom, parabéns!"",2022-04-21,Negativo"
"14,""Entrega super rápida, adorei!"",2022-05-06,Positivo"
15,Produto veio com defeito.,2022-01-22,Positivo
16,Ótimo produto!,2023-01-28,Negativo
"17,""Péssima qualidade, não recomendo."",2023-04-24,Neutro"
18,Muito satisfeito com a compra.,2022-08-20,Neutro
19,Demorou muito para chegar.,2022-11-14,Negativo
"20,""Atendimento muito bom, parabéns!"",2023-05-01,Negativo"
"21,""Entrega super rápida, adorei!"",2023-11-26,Positivo"
22,Não era o que eu esperava.,2022-10-01,Positivo
23,Muito satisfeito com a compra.,2023-03-14,Positivo
24,Não gostei do atendimento.,2023-04-05,Negativo
"25,""Atendimento muito bom, parabéns!"",2022-09-23,Negativo"
"26,""Péssima qualidade, não recomendo."",2023-11-19,Neutro"
"27,""Atendimento muito bom, parabéns!"",2023-11-12,Positivo"
"28,""Entrega super rápida, adorei!"",2023-08-15,Positivo"
29,Excelente custo-benefício!,2022-12-27,Neutro
30,Muito satisfeito com a compra.,2023-02-11,Negativo
31,Ótimo produto!,2023-02-23,Positivo
"32,""Péssima qualidade, não recomendo."",2022-11-06,Positivo"
"33,""Péssima qualidade, não recomendo."",2022-09-23,Negativo"
34,Não gostei do atendimento.,2022-01-19,Neutro
"35,""Entrega super rápida, adorei!"",2022-04-27,Neutro"
"36,""Entrega super rápida, adorei!"",2023-05-29,Positivo"
37,Demorou muito para chegar.,2022-10-26,Negativo
38,Produto veio com defeito.,2022-12-01,Neutro
"39,""Atendimento muito bom, parabéns!"",2023-10-30,Positivo"
"40,""Atendimento muito bom, parabéns!"",2022-09-12,Neutro"
41,Não era o que eu esperava.,2022-09-06,Positivo
"42,""Atendimento muito bom, parabéns!"",2022-12-05,Negativo"
"43,""Entrega super rápida, adorei!"",2023-07-13,Neutro"
44,Muito satisfeito com a compra.,2022-10-11,Positivo
"45,""Entrega super rápida, adorei!"",2023-01-05,Negativo"
46,Demorou muito para chegar.,2022-06-22,Negativo
47,Produto veio com defeito.,2023-06-16,Negativo
"48,""Atendimento muito bom, parabéns!"",2023-11-22,Neutro"
49,Demorou muito para chegar.,2022-05-27,Negativo
50,Excelente custo-benefício!,2022-06-18,Positivo
"51,""Péssima qualidade, não recomendo."",2022-11-04,Neutro"
"52,""Péssima qualidade, não recomendo."",2023-11-02,Neutro"
"53,""Atendimento muito bom, parabéns!"",2022-10-01,Neutro"
54,Não era o que eu esperava.,2023-10-31,Positivo
55,Não era o que eu esperava.,2023-02-07,Neutro
"56,""Entrega super rápida, adorei!"",2023-02-28,Negativo"
57,Muito satisfeito com a compra.,2022-08-30,Positivo
58,Ótimo produto!,2023-03-26,Negativo
59,Produto veio com defeito.,2023-05-18,Neutro
"60,""Péssima qualidade, não recomendo."",2023-06-19,Negativo"
61,Muito satisfeito com a compra.,2022-06-08,Negativo
