ID_Comentario;Texto;Data;Classificacao;Sentimento
1;Atendimento muito bom, parabéns!;2022-05-31;Neutro;0.0
2;Excelente custo-benefício!;2022-05-17;Neutro;0.0
3;Muito satisfeito com a compra.;2022-08-13;Neutro;0.0
4;Muito satisfeito com a compra.;2023-12-04;Neutro;0.0
5;Não era o que eu esperava.;2022-10-06;Neutro;0.0
6;Não gostei do atendimento.;2023-01-19;Neutro;0.0
7;Péssima qualidade, não recomendo.;2023-02-23;Neutro;0.0
8;Demorou muito para chegar.;2022-05-13;Neutro;0.0
9;Produto veio com defeito.;2023-09-21;Neutro;0.0
10;Ótimo produto!;2023-06-21;Neutro;0.0
11;Demorou muito para chegar.;2023-12-13;Neutro;0.0
12;Atendimento muito bom, parabéns!;2023-07-09;Neutro;0.0
13;Atendimento muito bom, parabéns!;2022-04-21;Neutro;0.0
14;Entrega super rápida, adorei!;2022-05-06;Positivo;0.41666666666666663
15;Produto veio com defeito.;2022-01-22;Neutro;0.0
16;Ótimo produto!;2023-01-28;Neutro;0.0
17;Péssima qualidade, não recomendo.;2023-04-24;Neutro;0.0
18;Muito satisfeito com a compra.;2022-08-20;Neutro;0.0
19;Demorou muito para chegar.;2022-11-14;Neutro;0.0
20;Atendimento muito bom, parabéns!;2023-05-01;Neutro;0.0
21;Entrega super rápida, adorei!;2023-11-26;Positivo;0.41666666666666663
22;Não era o que eu esperava.;2022-10-01;Neutro;0.0
23;Muito satisfeito com a compra.;2023-03-14;Neutro;0.0
24;Não gostei do atendimento.;2023-04-05;Neutro;0.0
25;Atendimento muito bom, parabéns!;2022-09-23;Neutro;0.0
26;Péssima qualidade, não recomendo.;2023-11-19;Neutro;0.0
27;Atendimento muito bom, parabéns!;2023-11-12;Neutro;0.0
28;Entrega super rápida, adorei!;2023-08-15;Positivo;0.41666666666666663
29;Excelente custo-benefício!;2022-12-27;Neutro;0.0
30;Muito satisfeito com a compra.;2023-02-11;Neutro;0.0
31;Ótimo produto!;2023-02-23;Neutro;0.0
32;Péssima qualidade, não recomendo.;2022-11-06;Neutro;0.0
33;Péssima qualidade, não recomendo.;2022-09-23;Neutro;0.0
34;Não gostei do atendimento.;2022-01-19;Neutro;0.0
35;Entrega super rápida, adorei!;2022-04-27;Positivo;0.41666666666666663
36;Entrega super rápida, adorei!;2023-05-29;Positivo;0.41666666666666663
37;Demorou muito para chegar.;2022-10-26;Neutro;0.0
38;Produto veio com defeito.;2022-12-01;Neutro;0.0
39;Atendimento muito bom, parabéns!;2023-10-30;Neutro;0.0
40;Atendimento muito bom, parabéns!;2022-09-12;Neutro;0.0
41;Não era o que eu esperava.;2022-09-06;Neutro;0.0
42;Atendimento muito bom, parabéns!;2022-12-05;Neutro;0.0
43;Entrega super rápida, adorei!;2023-07-13;Positivo;0.41666666666666663
44;Muito satisfeito com a compra.;2022-10-11;Neutro;0.0
45;Entrega super rápida, adorei!;2023-01-05;Positivo;0.41666666666666663
46;Demorou muito para chegar.;2022-06-22;Neutro;0.0
47;Produto veio com defeito.;2023-06-16;Neutro;0.0
48;Atendimento muito bom, parabéns!;2023-11-22;Neutro;0.0
49;Demorou muito para chegar.;2022-05-27;Neutro;0.0
50;Excelente custo-benefício!;2022-06-18;Neutro;0.0
51;Péssima qualidade, não recomendo.;2022-11-04;Neutro;0.0
52;Péssima qualidade, não recomendo.;2023-11-02;Neutro;0.0
53;Atendimento muito bom, parabéns!;2022-10-01;Neutro;0.0
54;Não era o que eu esperava.;2023-10-31;Neutro;0.0
55;Não era o que eu esperava.;2023-02-07;Neutro;0.0
56;Entrega super rápida, adorei!;2023-02-28;Positivo;0.41666666666666663
57;Muito satisfeito com a compra.;2022-08-30;Neutro;0.0
58;Ótimo produto!;2023-03-26;Neutro;0.0
59;Produto veio com defeito.;2023-05-18;Neutro;0.0
60;Péssima qualidade, não recomendo.;2023-06-19;Neutro;0.0
61;Muito satisfeito com a compra.;2022-06-08;Neutro;0.0
62;Entrega super rápida, adorei!;2023-01-09;Positivo;0.41666666666666663
63;Demorou muito para chegar.;2023-11-16;Neutro;0.0
64;Demorou muito para chegar.;2022-09-28;Neutro;0.0
65;Não era o que eu esperava.;2022-02-02;Neutro;0.0
66;Não gostei do atendimento.;2023-04-19;Neutro;0.0
67;Ótimo produto!;2022-04-06;Neutro;0.0
68;Entrega super rápida, adorei!;2023-02-24;Positivo;0.41666666666666663
69;Muito satisfeito com a compra.;2023-02-25;Neutro;0.0
70;Demorou muito para chegar.;2023-04-24;Neutro;0.0
71;Entrega super rápida, adorei!;2023-02-28;Positivo;0.41666666666666663
72;Não gostei do atendimento.;2022-11-20;Neutro;0.0
73;Excelente custo-benefício!;2023-12-23;Neutro;0.0
74;Péssima qualidade, não recomendo.;2022-02-26;Neutro;0.0
75;Atendimento muito bom, parabéns!;2023-08-18;Neutro;0.0
76;Péssima qualidade, não recomendo.;2022-01-11;Neutro;0.0
77;Entrega super rápida, adorei!;2023-04-04;Positivo;0.41666666666666663
78;Não era o que eu esperava.;2023-02-17;Neutro;0.0
79;Entrega super rápida, adorei!;2022-03-29;Positivo;0.41666666666666663
80;Atendimento muito bom, parabéns!;2022-11-24;Neutro;0.0
81;Péssima qualidade, não recomendo.;2023-06-18;Neutro;0.0
82;Demorou muito para chegar.;2023-11-14;Neutro;0.0
83;Não gostei do atendimento.;2022-10-08;Neutro;0.0
84;Ótimo produto!;2023-06-01;Neutro;0.0
85;Excelente custo-benefício!;2022-02-11;Neutro;0.0
86;Não era o que eu esperava.;2022-07-11;Neutro;0.0
87;Péssima qualidade, não recomendo.;2023-04-16;Neutro;0.0
88;Entrega super rápida, adorei!;2022-10-06;Positivo;0.41666666666666663
89;Entrega super rápida, adorei!;2022-01-18;Positivo;0.41666666666666663
